TE-Mut2191A-75	TE-Mut2865A-75	TE-Mut4097A-80	TE-Ctr2222A-10	TE-Ctr2475A-5	TE-Ctr2852A-15
ENSMUSG00000051951	21	4	9	3	2	2
ENSMUSG00000089699	0	0	0	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0
ENSMUSG00000025900	4	9	7	17	8	12
ENSMUSG00000025902	446	343	266	471	307	367
ENSMUSG00000104238	0	0	0	1	1	2
ENSMUSG00000104328	3	2	1	3	0	2
ENSMUSG00000033845	610	576	627	488	528	564
ENSMUSG00000025903	2860	4515	3790	5390	4435	5967
ENSMUSG00000033813	1177	1009	1059	998	920	998
ENSMUSG00000002459	5	1	4	8	1	1
ENSMUSG00000085623	0	0	0	0	0	0
ENSMUSG00000033793	2391	2479	2566	2292	2310	2406
ENSMUSG00000025905	0	0	0	0	0	0
ENSMUSG00000033774	0	0	1	1	3	0
ENSMUSG00000025907	874	918	848	978	888	1067
ENSMUSG00000090031	185	138	146	130	144	162
ENSMUSG00000087247	1	0	0	0	0	0
ENSMUSG00000033740	4	0	0	0	0	0
ENSMUSG00000051285	1546	1321	1419	1387	1405	1482
ENSMUSG00000097797	39	17	37	18	8	20
ENSMUSG00000103067	0	0	2	2	0	2
ENSMUSG00000025909	70	36	30	32	15	21
ENSMUSG00000061024	556	445	481	459	450	551
ENSMUSG00000025911	2120	4735	3388	5509	5473	6074
ENSMUSG00000079671	28	29	23	44	39	32
ENSMUSG00000067879	1	9	3	0	1	5
ENSMUSG00000099827	0	1	0	0	0	0
ENSMUSG00000025912	87	64	62	60	40	85
ENSMUSG00000045210	858	676	673	611	575	710
ENSMUSG00000097893	17	24	24	35	30	26
ENSMUSG00000025915	486	478	520	504	429	493
ENSMUSG00000046101	10	11	8	10	6	17
ENSMUSG00000098234	173	105	125	82	127	98
ENSMUSG00000099032	220	213	241	276	321	250
ENSMUSG00000025916	9	6	3	3	10	11
ENSMUSG00000087199	0	0	0	0	0	0
ENSMUSG00000025917	1107	946	898	961	936	1025
ENSMUSG00000056763	720	689	680	767	690	719
ENSMUSG00000067851	2638	2212	2363	2290	2063	2375
ENSMUSG00000042501	1	0	0	0	1	0
